,arpu_9
15648,0.15
14091,662.348
18623,91.989
14387,41.331
1301,72.95
14420,178.912
13234,92.02
869,378.445
3093,158.94
22111,561.718
20357,390.591
10761,370.79
2949,262.944
4132,263.405
21475,495.887
21374,180.803
13752,0.27
21557,213.814
6975,355.515
12289,588.3
9717,134.436
19480,355.746
20555,95.947
21770,389.815
1377,31.295
4610,243.642
22789,70.574
22812,528.237
2925,223.522
16751,349.169
10516,279.172
5131,203.442
48,94.57
11784,474.414
10721,225.015
21338,325.949
15269,308.183
16339,58.521
15717,448.905
20401,44.0
20438,762.799
15814,85.874
14786,114.533
21992,0.0
9571,96.216
16340,161.008
2872,509.244
4854,317.921
8421,43.349
19181,161.921
5890,730.23
5192,174.548
5526,120.136
5871,240.62
764,0.0
12867,172.367
8914,309.967
458,170.935
12803,39.869
5525,704.712
969,17.391
7799,250.443
3570,709.54
2266,330.58
5808,1.87
22299,80.143
18261,754.512
4458,391.721
17311,128.997
19315,105.881
19630,508.009
6810,362.162
5844,264.316
10826,148.282
10136,445.97
8129,110.596
16646,77.57
14720,131.06
5490,41.689
5370,43.819
21402,8.32
1282,183.462
22189,377.214
4340,114.11
18838,0.29
7503,516.429
20214,375.356
18840,8.197
2314,1.0
10928,541.912
10517,162.401
13478,72.992
4775,546.333
7477,253.88
16997,357.29
2851,215.917
20043,92.391
2584,420.325
12221,120.411
15495,191.462
4981,351.389
17826,111.713
18871,173.416
4412,336.112
146,772.074
16866,32.924
14946,130.443
14041,7.066
19381,247.769
11174,226.912
6210,853.894
15356,558.339
10392,344.175
6135,663.787
21069,167.858
14213,437.154
21403,665.254
10706,88.291
5412,408.236
2210,63.033
15613,94.452
20616,120.55
15176,342.807
6725,513.485
16903,300.859
18455,75.763
6778,202.928
12193,774.474
17622,508.368
18217,296.774
3108,262.712
2001,700.878
6723,99.951
17020,222.199
15910,93.483
13390,440.002
16263,834.112
138,237.548
19205,234.734
12305,58.412
7905,539.153
8348,247.54
20651,183.643
14554,267.886
13090,62.267
5355,489.875
22193,333.471
8228,556.69
17664,2.5
19065,306.107
12116,340.339
6211,136.574
12630,0.0
14177,187.419
8197,726.84
16905,41.596
6740,302.148
19628,26.824
10465,59.039
4273,297.862
10175,338.303
10295,320.432
19201,357.049
12826,250.826
11296,78.596
20750,150.58
4929,3.0
3224,255.384
12403,501.331
12765,248.06
10801,299.797
2149,-2.6
17904,747.096
196,634.457
7882,199.196
3557,676.559
430,212.055
17137,301.544
9871,213.83
22931,47.983
6984,30.785
15235,475.096
10044,11.66
18968,337.739
13126,35.344
10837,513.144
22420,445.123
19241,108.593
9008,123.72
2986,387.896
7947,533.545
11961,248.817
4212,83.5
6779,242.357
898,270.743
14640,120.902
620,282.37
17470,194.598
16815,404.324
1533,636.685
3767,353.986
19506,179.596
20752,106.109
2295,119.28
4951,14.783
15323,340.778
19815,552.045
12372,440.308
4092,415.952
11160,243.256
7697,97.75
14719,95.526
8583,397.874
10162,1.81
19034,413.201
8509,377.385
14046,54.15
827,215.32
74,734.423
6675,712.177
8479,529.26
3228,202.781
3011,83.197
12993,324.819
860,132.424
15200,7.46
14992,158.346
18627,161.017
2738,617.701
11874,258.817
13160,70.908
2838,74.347
6100,236.411
12185,144.521
13248,35.828
7361,173.815
19507,64.289
5366,71.833
1157,604.215
17284,317.854
15414,79.437
6785,746.239
16807,14.13
6887,821.515
1574,150.961
1350,264.825
3157,344.84
1823,113.95
13397,282.286
19343,225.39
17265,296.914
12216,538.297
5981,33.526
2801,306.992
13209,292.096
21414,182.927
5767,234.0
15449,82.32
3121,44.856
9694,541.492
10628,196.186
11469,331.598
17421,632.228
4702,878.485
20171,217.492
6645,320.159
14930,143.236
4817,280.203
1918,101.889
2235,134.34
17163,207.896
2941,562.415
5119,490.228
16608,471.962
4141,0.0
9433,337.457
3048,271.389
12347,35.02
6745,687.033
17661,210.983
10726,747.214
11441,204.637
14598,453.886
14813,451.868
5695,544.054
14324,139.307
5716,318.454
21140,71.266
11931,236.9
14608,167.572
10408,362.838
20463,85.545
22033,613.704
11288,273.706
11671,366.09
14861,107.66
22160,145.878
10231,74.248
13272,24.13
3003,0.23
18824,247.039
22936,434.537
7659,328.481
8036,1.6
18051,195.504
2496,370.07
18498,287.464
17053,498.46
18432,175.926
9997,137.026
7706,91.99
18158,328.071
18443,37.126
6358,360.916
21269,104.438
10543,651.822
5069,161.032
2780,183.546
4893,391.671
17614,592.308
17686,203.54
4578,211.551
9299,170.267
19881,439.05
21249,224.096
12851,679.597
4140,66.925
7827,60.504
21183,101.045
12791,480.048
17997,600.139
9862,253.148
17673,244.432
2092,312.014
10358,0.0
15919,567.534
17836,89.532
22321,41.046
5260,193.959
17296,77.95
18013,148.814
19420,526.802
3325,410.129
18891,26.205
18282,236.888
9053,94.207
7727,262.654
4495,119.611
17508,178.299
3047,42.45
15965,166.499
14543,566.76
4282,35.892
14215,107.193
18963,677.565
15236,255.794
7848,44.986
19996,252.889
4055,233.878
1477,486.977
1238,593.125
14271,220.49
13282,30.535
15132,757.957
7335,285.987
13016,346.416
22242,82.034
20352,80.059
21670,85.52
8923,443.839
6893,165.892
20071,449.965
9531,222.941
6885,177.457
19823,108.644
12514,47.15
1487,125.548
1954,136.696
11944,244.52
16101,141.821
5136,383.182
18936,68.911
22733,259.105
6146,221.545
19109,327.346
1245,56.489
13180,427.774
11408,185.753
2862,56.372
7847,15.969
17595,174.29
2004,359.849
18808,77.96
5849,352.686
3878,542.666
8968,116.166
8769,213.267
11169,60.446
5977,0.0
12202,87.486
17993,270.062
22479,42.287
22506,33.199
8833,50.88
14524,65.464
1206,679.539
888,126.534
11850,156.007
20987,806.399
6070,150.961
14747,285.791
17142,91.442
13822,20.7
2832,125.39
8662,18.69
12273,494.383
11875,240.244
21279,40.719
9880,122.793
19718,341.039
21466,75.256
21322,386.589
8883,78.563
18915,258.638
12732,118.615
16847,70.79
18639,72.4
532,408.534
1792,279.16
4627,23.32
1707,703.498
14937,309.794
3772,75.204
13607,294.47
21835,96.612
272,298.204
5093,0.85
16329,185.624
6774,143.92
4708,339.147
20927,484.661
17488,283.557
20895,252.95
6286,103.082
15065,431.348
10752,189.491
18197,276.799
9475,88.467
12811,460.731
16390,75.202
1105,319.236
5941,25.82
13626,567.419
20525,141.842
11947,365.424
10240,26.335
11767,60.17
17892,252.263
5948,202.596
22025,52.439
12681,547.646
15911,256.235
18398,110.235
15689,371.372
17355,39.547
12053,588.675
14224,198.7
12182,280.781
21883,201.657
12428,240.832
10608,141.009
3947,257.344
7840,181.325
11452,381.379
4199,20.333
8309,197.722
9174,516.278
17004,7.202
20067,211.105
7494,440.694
11183,10.324
14836,49.946
16108,124.297
10287,100.288
22535,525.184
17184,341.23
14725,158.297
4125,392.281
19837,69.029
21465,140.445
14205,332.207
7216,376.849
20132,177.002
3684,152.51
20188,165.035
21389,485.865
14541,164.513
13104,52.513
9659,101.854
4219,668.14
18888,523.9
13497,591.207
17119,792.203
1408,18.875
17456,51.83
855,243.796
5577,247.612
6987,36.706
4842,136.885
8804,82.323
12690,107.435
3473,255.01
5179,9.63
15273,95.669
12654,0.0
16704,249.922
647,178.149
22229,8.739
12578,117.566
4601,45.067
13601,435.384
4858,232.65
17476,195.33
16257,78.567
16090,197.258
12821,353.195
22517,812.467
21613,0.0
555,135.11
18542,119.865
15477,352.664
8431,36.77
9612,193.451
12719,607.075
14197,327.017
7121,53.94
14820,72.342
10532,336.364
11720,192.807
163,112.977
5340,216.841
2114,199.114
442,46.271
3915,514.959
5303,17.763
10981,160.107
20510,274.944
12693,224.31
18796,302.584
22026,169.888
16564,257.485
7084,441.45
22593,0.0
12090,282.948
22723,110.596
15291,152.925
9445,1.8
10186,287.616
22638,218.377
1475,197.404
4882,207.692
7485,23.08
3608,-1.584
4515,65.9
14379,389.714
8451,154.445
6899,129.099
12953,493.595
2162,53.586
8553,0.0
10717,164.845
4294,581.107
17972,160.03
9769,285.932
15765,204.25
6315,419.235
10023,55.147
656,249.662
19764,289.338
13745,37.111
19720,508.58
13855,648.732
20660,348.409
20678,15.25
8423,324.371
3022,231.92
7202,92.351
597,92.304
7936,177.595
17164,190.544
12805,10.979
2569,101.575
1321,146.467
13037,0.75
13913,536.101
3090,398.423
12781,80.166
20200,279.09
1877,200.359
77,91.044
21479,71.642
15886,228.627
10594,0.0
499,110.576
7711,138.86
21676,170.496
12059,134.478
16782,198.056
10773,137.792
1189,668.547
2874,810.799
10058,88.121
17094,71.476
13489,25.724
11746,39.296
4500,270.356
11591,158.687
13505,610.489
13506,304.712
19847,91.601
1686,327.287
4441,211.438
12634,109.761
10572,101.933
15318,178.129
22156,350.048
3536,221.015
7732,145.604
14478,107.026
9407,735.769
14745,101.996
6066,360.307
19012,306.675
6038,392.266
20204,712.817
10462,149.11
22030,238.169
18807,558.373
13105,94.228
17559,120.412
20103,168.33
17361,30.817
15785,203.88
21277,40.55
5191,434.457
4337,216.882
3978,76.526
6384,421.633
5125,550.67
7266,603.78
17233,68.111
16755,297.844
17956,393.741
9964,332.359
9643,69.592
2526,110.938
15177,5.293
8363,62.682
332,119.173
7293,156.477
17042,349.697
20046,156.682
6910,59.786
823,792.17
1573,194.718
15845,342.782
13558,125.0
6254,44.883
7382,40.16
22049,777.561
14,322.732
12218,259.498
10947,277.21
12720,347.356
5402,237.857
17715,52.581
19398,114.899
19086,123.217
17695,202.442
12987,14.4
19620,101.788
19106,213.818
3603,195.86
20221,408.07
11283,17.625
15197,810.027
13199,157.912
12481,286.492
22896,377.033
12990,242.853
4793,9.18
16680,126.481
14624,24.957
5382,154.545
19029,34.248
12642,118.086
6776,257.34
852,3.91
1746,70.392
14140,270.937
10529,136.546
15294,704.715
15359,26.29
3179,177.742
6535,297.686
18128,247.249
8704,134.694
21882,236.684
9252,117.19
21949,128.739
16327,26.548
20402,304.648
4849,67.471
3481,0.0
11584,509.003
3086,275.107
6815,530.855
16095,438.234
790,101.618
15469,41.161
20031,368.651
15609,530.92
9632,135.905
1379,349.825
12926,36.749
18179,411.379
8796,189.77
10636,148.145
17346,172.913
19235,541.907
22136,107.375
1515,164.942
11543,18.355
14367,152.25
18381,25.666
3458,656.615
3439,12.46
11856,607.467
5419,114.442
22735,83.846
19087,367.321
13501,607.451
22399,35.983
14537,160.54
16389,557.112
2421,158.224
11279,148.314
3599,452.231
17891,250.305
1072,232.502
3846,222.713
18530,35.826
11860,174.693
22485,385.492
4453,76.459
11911,112.186
1665,199.375
11410,108.82
7927,460.096
5218,365.527
21248,56.44
8670,7.04
10854,586.194
21917,123.354
3862,212.625
9679,148.296
15261,257.682
19299,107.379
3172,87.35
13149,126.335
5241,119.993
12801,114.392
7979,79.15
11389,467.76
6461,149.536
13486,344.779
19801,103.6
7668,244.156
7889,739.635
10165,304.491
19432,37.416
12662,635.23
12291,533.388
12474,119.666
15820,168.473
18925,438.424
11237,618.653
15684,89.352
11967,108.968
18213,259.94
18076,191.169
21760,781.866
20809,239.15
2763,61.973
19783,444.65
17335,221.234
9262,351.916
5186,284.229
18984,433.513
16707,174.622
5045,120.593
14547,294.59
12563,38.46
10640,233.696
1891,363.037
9108,207.031
7991,145.912
13338,253.811
9861,10.809
20001,150.934
12850,44.199
7054,64.484
3339,134.672
11700,195.036
16922,17.52
2555,649.824
4733,87.592
4907,161.673
18069,145.192
4129,157.613
4027,175.512
3808,206.364
15493,718.149
2892,336.563
22318,103.446
1516,118.126
16475,9.082
11349,549.899
3582,234.976
1009,482.746
22236,0.0
21864,600.17
11600,213.805
21918,115.871
1074,26.419
14647,142.092
13100,61.424
22712,329.578
6325,22.47
6786,73.017
15060,731.166
7411,11.06
1351,47.12
18003,94.72
2462,94.61
14409,330.277
10372,184.515
4740,379.466
6406,413.577
10869,81.39
7182,185.301
12037,222.957
13083,0.0
17977,331.775
16326,83.56
16247,156.111
9746,114.904
8827,41.093
4264,305.04
7116,61.791
8606,5.25
13961,163.879
85,272.831
12631,296.577
13341,534.548
15619,92.665
14239,435.691
19523,121.095
524,301.486
8111,205.033
10230,57.252
18773,439.09
37,208.961
21098,119.897
7671,127.191
45,202.214
657,236.111
20836,493.266
12854,88.202
18083,299.675
21841,127.694
9870,190.326
12965,94.184
42,143.596
6949,620.25
4408,62.748
176,366.373
6153,536.196
12652,229.998
20870,65.084
12344,512.707
4108,308.588
18131,665.344
22350,84.114
14655,27.569
21801,38.919
614,88.414
2629,80.34
21200,23.057
20227,174.675
10259,213.735
18065,70.97
1663,32.629
19772,156.673
1829,125.795
10312,166.48
3137,58.263
12406,-1.25
1544,294.926
20983,576.314
19770,7.76
7879,275.137
17537,402.915
8323,200.446
16163,25.992
20471,507.523
12910,566.385
10313,74.1
10356,205.217
4726,158.304
21981,149.314
22933,437.579
14260,477.352
10795,499.901
5709,154.717
3934,559.687
4268,38.826
2477,666.419
19957,67.42
14699,190.12
12976,131.602
18844,130.242
10514,294.708
6287,549.751
8542,31.13
12456,409.049
18057,403.341
15076,413.887
1558,0.0
13189,283.355
119,332.975
19254,52.98
20444,33.865
11657,536.705
5243,840.72
5768,188.586
2618,20.684
11278,374.393
6082,388.701
5388,442.928
7886,362.784
2460,135.707
10345,272.968
13691,447.072
5571,821.61
11877,81.541
13065,161.241
7101,127.62
11776,127.14
19862,221.884
21577,182.812
20575,331.218
11406,313.493
4160,79.419
16616,0.0
21211,638.188
11771,200.928
19651,233.396
22553,221.686
19948,43.4
10951,445.358
6753,109.994
14879,43.382
11804,136.55
11480,277.385
12773,45.996
12670,285.045
22361,495.468
4317,136.781
10200,37.489
15742,237.299
17165,246.011
19833,648.188
2069,303.076
14672,186.147
10127,816.066
13257,0.0
15391,338.439
19701,69.846
1325,624.138
6616,354.927
4783,588.998
3992,86.59
13416,268.456
21811,408.507
6857,330.982
4744,106.115
17424,154.479
22570,209.533
2343,64.118
21376,590.01
1833,1.99
17797,61.366
9485,244.935
15682,59.514
1927,179.482
20306,167.97
6802,148.324
11467,878.665
17627,427.274
21212,539.719
3990,161.516
6046,248.499
7738,31.452
22263,489.651
13285,290.734
9204,544.382
19339,292.627
21885,86.166
19224,823.896
16403,188.754
10361,6.61
14692,569.646
20063,74.111
7330,570.08
1721,326.884
22250,307.647
15832,164.069
12391,260.58
16634,175.543
11332,105.411
979,158.852
6870,258.316
9037,239.211
1467,271.435
4215,299.407
14369,320.557
6926,805.703
13485,795.461
17905,95.26
16742,405.466
2474,237.99
10343,232.941
6750,85.18
13108,71.978
9500,47.786
19160,84.195
8186,568.389
19763,460.123
18776,131.142
20057,155.082
11224,50.675
22173,63.641
14221,435.171
4865,714.662
1330,210.938
10876,731.56
20423,356.086
20049,367.52
22227,193.649
3620,153.2
22265,9.089
4596,299.888
7017,455.415
5692,335.422
6623,419.329
3870,293.345
20656,213.545
3881,465.216
14395,409.538
917,15.74
11274,210.523
17291,522.153
18948,51.685
7960,148.53
15963,106.757
17044,145.467
12376,280.04
13452,538.172
2542,73.345
8743,268.704
770,34.876
1747,271.126
4350,15.946
7656,537.202
13194,29.356
13471,230.247
9984,154.363
11852,371.434
861,230.208
5749,45.531
15354,569.16
5302,807.485
7901,140.227
1821,167.404
6319,179.434
5812,224.93
13432,554.591
16052,104.913
16102,0.0
7311,147.796
9288,0.0
169,117.203
13921,600.288
14101,109.804
22403,221.333
11220,509.256
3554,182.092
3188,85.911
4077,363.939
10871,60.724
3429,491.144
10724,154.567
11899,21.66
13038,258.934
13477,237.84
19502,142.97
17300,85.29
22575,136.624
14863,149.977
1907,183.677
11745,154.022
6365,545.625
14885,287.107
7914,219.923
8845,40.386
9164,297.865
1124,65.898
14208,461.68
19866,112.131
921,43.721
7973,32.106
10592,0.0
5115,464.729
21920,166.461
22584,130.61
17933,299.7
8707,194.605
14433,187.415
14027,347.08
22034,325.171
7487,81.706
4259,330.418
15371,362.82
7815,122.973
6612,0.1
2130,174.498
4617,137.216
21056,32.82
8615,114.957
413,235.121
1585,274.599
14381,675.784
16431,361.949
5798,428.024
5947,109.025
12143,58.838
5468,149.49
21148,574.108
9036,398.258
14616,672.478
13917,45.456
6233,306.976
1102,200.0
1660,182.13
15304,3.0
4778,143.212
22155,23.755
17974,130.438
12895,405.938
2182,132.473
7201,49.096
18316,193.119
2301,604.418
2274,75.771
11122,137.589
9306,190.279
8755,0.0
10449,248.271
21775,0.0
16208,273.494
20255,62.37
5893,6.05
11360,64.065
13399,122.877
5881,20.45
16360,39.987
8255,136.596
13685,81.992
9864,65.66
250,130.277
1446,441.362
3375,383.867
21724,129.396
7423,806.384
14950,214.591
8314,533.08
22247,458.28
2747,136.89
3646,291.111
10452,401.757
18791,89.81
3296,55.97
16711,249.093
5162,78.878
18174,323.204
8063,248.751
5227,100.586
22835,2.7
18600,101.352
8879,0.63
5304,156.196
9878,136.477
22157,44.426
12501,343.214
1111,317.448
17388,467.546
22459,149.252
8630,-5.0
3026,432.717
13657,311.627
22545,274.314
14327,181.208
4379,702.002
15214,365.13
2352,222.437
8770,44.158
8994,298.648
14726,8.58
14183,149.423
16774,112.374
7428,138.687
19182,407.084
9307,454.268
20847,232.07
3935,649.214
17446,461.252
9376,163.618
9734,144.162
7952,677.181
22760,28.606
1391,179.919
3828,432.772
15632,0.0
16190,152.57
19860,49.527
10095,59.5
19944,234.322
15652,44.541
7168,124.845
19335,76.828
9324,299.519
8158,585.17
22087,159.859
18185,288.76
7067,90.53
6114,265.29
4635,415.578
6958,614.364
7693,260.253
19637,446.726
1553,271.919
8058,86.099
13311,17.625
20934,339.179
20066,282.444
1272,214.993
13238,16.433
6113,7.92
8231,49.419
16127,265.688
1243,721.951
21254,508.429
5992,207.782
734,619.333
6081,388.909
12668,127.981
1498,207.669
20595,265.544
2703,229.923
3645,80.926
19349,437.451
19488,558.343
20056,446.662
6553,241.234
3696,36.348
314,236.744
9973,25.72
19945,596.343
18693,303.408
12930,344.719
7268,218.511
18903,168.17
3839,439.715
7850,44.423
856,120.845
13240,103.514
2737,175.562
3483,401.376
9199,584.233
19433,287.31
14560,9.084
10441,106.794
17466,323.236
15795,8.87
14910,222.325
20662,407.283
9326,106.947
220,208.276
21241,483.129
5422,65.759
9097,578.168
4120,334.005
6020,104.65
12401,81.177
7087,56.543
15516,63.417
18878,135.093
22092,559.06
16558,139.791
9629,308.706
4206,138.95
8343,296.081
18184,0.6
16129,133.629
16042,154.91
5471,75.716
13468,331.604
16758,98.28
4684,5.213
10376,48.856
7820,105.472
12535,240.883
5689,91.372
17212,383.061
2116,357.388
17082,277.496
7595,802.405
20567,180.406
21812,104.213
8436,261.865
17109,79.187
6269,119.0
17266,188.794
13628,218.714
20435,185.937
5207,186.73
18046,326.65
2725,231.136
11822,184.728
20621,259.167
16640,713.832
11649,317.061
17588,136.756
2468,537.787
14783,346.449
15332,442.147
3413,96.256
10496,0.0
14689,242.875
648,361.154
20606,316.562
8529,162.731
11590,374.642
17761,21.15
12949,202.846
16356,289.241
2861,113.468
608,33.576
1071,589.635
13146,123.361
11779,177.945
11510,192.144
2302,138.17
136,94.176
3074,402.602
859,373.681
8609,28.02
7588,44.163
11915,64.515
4813,545.058
12129,151.698
18934,227.83
9792,458.462
2020,69.536
3706,50.843
2298,222.882
7579,1.87
2138,335.799
4446,91.871
15257,98.514
4084,156.847
1527,80.796
16355,45.691
17604,588.71
4162,283.946
16022,246.32
11664,60.407
5384,0.3
6171,136.852
19584,280.577
20601,335.52
7920,323.613
113,53.076
437,455.842
2313,222.367
5618,151.697
11127,340.751
17680,0.0
15382,386.421
16946,202.153
7043,227.351
17968,226.003
12980,337.087
11426,19.138
7611,113.215
7709,479.553
11331,366.622
22619,217.679
14887,286.387
7440,123.131
350,365.728
12723,0.25
2073,633.124
19133,756.61
16397,694.669
1264,93.386
17306,72.558
1960,161.472
9315,494.106
8535,17.744
16914,103.478
21745,648.435
20856,345.391
21787,316.967
644,515.844
18701,425.526
12924,561.5
16888,233.21
13576,311.51
8281,410.125
17915,108.574
186,328.095
19443,396.972
12187,314.141
14301,126.046
3277,171.74
12004,105.977
8065,66.652
13893,108.884
12493,35.514
7214,417.852
3657,487.527
19088,300.658
21658,367.684
15612,138.927
16606,381.703
14556,357.369
3998,413.492
20389,133.5
4034,121.46
4309,413.968
601,94.075
5279,134.706
8371,59.397
16894,252.318
7584,249.387
9597,868.643
19320,201.652
7981,332.016
3192,192.26
17769,698.705
14634,518.301
6332,242.566
21154,90.385
4658,199.613
6362,260.851
9999,188.732
20892,41.05
15695,457.505
22182,384.064
15008,15.142
8624,532.249
10427,57.9
7299,126.518
6694,56.026
15116,260.176
10688,248.1
2340,0.0
11457,290.987
3478,9.092
7758,44.66
6832,148.33
8939,163.186
11486,176.835
6525,235.025
19937,259.868
20568,0.25
19421,320.153
9367,354.205
4414,60.1
10411,411.984
14606,-0.08
12717,58.746
21552,98.335
3631,42.543
1831,161.796
16589,0.0
6569,107.0
20440,59.189
7869,182.316
5429,269.45
17937,407.217
22956,538.724
645,379.579
17949,312.727
6873,0.0
9005,590.855
5531,191.506
5934,137.122
20268,220.063
19664,191.828
10909,107.855
6933,201.353
2600,0.0
13778,226.587
21439,166.926
14646,124.796
1134,97.986
6907,25.589
17741,456.578
11823,228.001
15846,0.13
22659,209.936
8276,395.972
6068,438.997
6181,34.572
11418,73.264
2668,40.672
20013,622.277
6806,48.1
2375,250.749
8778,73.178
12686,211.297
901,466.248
19027,71.777
15288,832.268
21298,1.98
9319,10.45
9169,58.642
18772,287.989
10108,85.542
17055,165.243
20649,43.23
20889,244.33
9733,387.578
2060,93.93
1889,153.922
14277,69.59
16759,173.764
1899,110.223
5228,10.61
11031,0.0
17612,691.682
2999,164.955
1523,243.451
19454,322.381
12030,478.488
9908,471.885
3537,107.395
21815,689.29
13545,170.18
10852,202.08
21263,228.947
2781,94.518
12223,104.858
17322,25.783
17999,19.6
20129,222.866
2646,101.222
8356,0.0
9014,252.364
22810,310.979
15879,111.441
65,131.1
8746,133.889
4491,217.088
1733,38.006
10141,205.671
10938,36.896
1241,842.613
9483,348.749
14328,199.178
3222,19.5
13768,400.883
2249,121.464
20997,379.954
12284,110.82
7876,162.801
22419,228.377
22367,143.808
9617,164.231
8107,473.67
7854,151.472
918,811.258
3951,57.256
19301,241.673
20318,575.663
3240,17.962
5369,189.996
11005,218.933
11892,252.637
3973,51.881
10379,65.591
8744,87.416
21262,310.998
987,496.998
6125,333.528
13787,838.521
16113,28.752
22366,38.665
10298,519.61
13071,18.178
8859,148.087
561,538.078
13069,21.139
8737,32.638
18688,73.012
15895,171.58
14139,111.462
544,106.596
6880,1.146
16923,500.181
2790,5.606
14777,408.1
13881,476.963
1852,226.153
7415,276.68
6075,450.417
22108,59.348
20045,529.755
5752,67.942
427,106.097
19042,371.296
14713,27.798
8572,184.703
21218,8.764
225,551.092
8193,307.828
9511,410.321
3579,146.683
8759,327.12
13215,303.131
18634,190.111
14923,300.99
12927,168.772
1063,235.793
15133,-100.459
14285,492.193
13017,94.472
22596,470.626
12774,125.9
3207,150.74
5316,131.648
10455,0.1
9191,248.117
10845,237.352
16552,124.8
902,460.576
21743,289.899
2115,56.304
20234,3.49
12255,109.76
16353,394.28
5902,544.185
17113,251.047
2128,521.165
1449,314.643
4622,234.272
7747,548.198
17804,0.6
16632,416.0
21379,156.983
6195,288.02
1534,349.252
21922,63.246
18815,81.529
15381,693.614
9696,47.05
18303,311.093
10196,219.909
813,404.416
7723,547.229
14775,0.01
22554,384.766
971,21.16
22129,125.63
21480,278.448
7445,647.486
2502,234.758
18308,352.171
11696,17.9
4549,136.086
4432,46.386
8095,126.996
6352,300.685
17478,343.418
15554,518.544
8800,673.402
3040,104.02
2798,396.388
10085,478.412
1931,113.419
2813,586.163
20093,111.114
11324,624.081
13329,408.084
10495,577.452
890,374.673
10486,440.865
19522,154.998
19538,94.902
1740,0.65
22376,323.579
20051,210.838
12532,508.85
14168,24.766
3640,27.453
15916,146.462
14250,56.106
134,696.824
7522,366.475
5556,224.227
20205,151.764
21397,78.265
2362,396.039
478,409.07
9740,656.115
7128,0.0
3169,58.996
16915,239.756
19149,787.407
10159,142.612
3717,393.603
5459,124.885
12875,90.85
383,125.106
2309,369.567
6597,4.94
7832,75.489
14401,67.14
702,21.98
11293,839.334
3160,855.222
11903,112.732
775,151.095
3954,481.858
8344,116.875
12411,266.06
7737,174.207
21487,68.42
18020,183.098
20779,207.584
7863,240.04
12047,343.063
15828,42.964
3191,643.722
7357,265.904
